Element,Coordinates
Te,"[-196.41686252453547, -21.09707945810089, 58.10217256262665, 30.66476504897325, 99.81777661279402, 363.82981604886834, 190.4682138793907, 381.8084009760733, -110.88181870702867, 66.00974255377125, -97.646892563343, -280.06442205796486, 8.954043758855539, 66.78396004503273, -139.1770021955834, 7.14158455797481]"
I,"[-26.458776972926053, 460.7941448481796, -82.01961191257632, 119.75001548761838, 185.9856636640512, -83.42080556517519, -177.47706099326393, 119.14007916772995, -284.8067285149243, 124.69908509168737, -85.16209977232845, -71.8270180915912, -233.8201022546121, -320.7869077312206, -57.53354238297256, -173.48863031107953]"
Xe,"[-279.58627201602707, 294.4171934950726, 53.3602604894691, -79.05155577909399, 475.4062993370476, 222.11010533420736, -109.81984012133462, 111.49392505678573, 83.1256497364733, -189.92609668523528, 58.50743614672382, 333.7013483689969, -23.41377606199159, -14.880348786431636, -68.2821502146931, -38.941236335454356]"
Cs,"[-293.2281647056721, 65.00315351332137, 277.81667814397196, 80.37328169250632, 72.43566264032943, -320.6167565961082, -64.06942875761013, 181.8541110311218, -172.1208455271432, -135.17638208315373, -76.4389119045362, 95.22090164425555, -156.3081817718069, 244.79461700478038, 272.8708550922647, 18.94867973768417]"
Ba,"[202.6614133121184, 34.73218408784978, 124.19870153831506, 227.21461548539696, -159.70425828872635, 78.97642311073324, 194.57597567340147, -106.59034852854901, 145.427643331079, -82.68638361500923, -118.27523775344216, 118.6717459754079, 7.648192441137392, -23.665245884873762, -115.3764773671945, -20.050800491033723]"
La,"[184.35562698995116, 27.754328855207294, 108.40112931217058, 187.464427545604, -174.0597213507674, 45.58046865814141, 140.07413913043575, -134.9939914397649, 172.4255137022284, -78.52754106267743, -95.90818573154745, 69.26375103918109, 46.16914967182765, -0.6519948417293212, -107.62199644983617, -14.145767903519342]"
Ce,"[173.2319523703167, 26.843967836329675, 90.22874328380023, 154.56710178727053, -171.5524580116547, 30.619484208398635, 112.25462081456003, -143.85328441371405, 183.97948555222015, -72.65473509468646, -80.5819524357172, 39.15220959850311, 70.42458669297628, 1.5004088844656227, -100.92354040748587, -7.626447769073081]"
Pr,"[168.1125287180475, 22.3421428696521, 87.39148993850931, 147.910467646076, -172.47512454496677, 29.901132380104414, 103.8451710333055, -143.76686168075904, 180.6949858754334, -70.14405359160094, -76.97078873405496, 35.9479446035607, 69.24132779151671, 4.424650423361229, -99.1029354358643, -9.192194598344615]"
Nd,"[170.69992301986343, 25.185428282512646, 90.07535067161025, 150.20175693832184, -172.2293525563957, 29.62144594786631, 109.57423073480948, -145.05057864238393, 182.71956788443867, -72.05358831658708, -77.92851870735248, 37.15304319501806, 71.26514745269992, 1.0440228763869743, -100.69041166863627, -8.196354451204389]"
Pm,"[36.35338819818593, -32.7930001560078, 54.773272302195046, 2.839070640643815, -119.98916777711331, 15.81165276326347, -9.946618740018021, -58.44362865965164, 72.10355456618571, -31.01386625018087, -10.90192791978768, -31.963171380288, 48.57094871005261, 26.84631961564279, -35.05851058750347, -20.815615180278066]"
Sm,"[162.62849075351983, 18.668894024288814, 86.13816723915802, 140.06768423979636, -173.70827647781482, 27.81589375180381, 97.07089178685604, -146.35155100113073, 178.08400128490894, -68.18533770349457, -71.64179107398395, 31.382439078110774, 70.65331449434153, 5.080344310819017, -99.0602115772389, -10.235696051743238]"
Eu,"[179.72090485092198, 23.96932720471875, 109.38778230960567, 184.0059212274672, -176.62711931808118, 46.35800003835299, 137.2771602400205, -136.91828269679112, 168.09714966857328, -77.14026789568763, -92.43292307223864, 69.61329521814852, 43.70312368741879, -0.786264521166499, -107.98179553033016, -16.091681808744895]"
Gd,"[159.73660616315718, 17.19286781278541, 87.18383149782775, 139.44860673294173, -174.28601767699348, 26.292487690092972, 94.51447014165407, -147.37915405286296, 176.2573119154048, -67.6689008456431, -69.90737463096147, 30.303061271652204, 70.04737112732157, 7.106243550501573, -99.28900243993328, -10.834286782441517]"
Tb,"[151.56384538746818, 11.12626299343798, 83.5371175758282, 129.73556246693056, -174.5187674575739, 24.071565207804976, 82.15285419293397, -146.72507966163403, 171.00237858434355, -64.17091675939527, -64.43860577943694, 25.022825910643135, 68.67470108094435, 11.745040508625136, -96.4592091894319, -12.773871792847045]"
Dy,"[147.58360320607414, 7.833446126377582, 82.47757832858073, 125.48484655294553, -174.5687359392265, 23.21009973068685, 76.52694828810083, -146.1375874636187, 167.62809114799072, -62.55384535451838, -61.8207508595719, 23.020825481248423, 67.24128043914345, 14.060366362317138, -95.44246979402266, -14.139288127958158]"
Ho,"[146.37410415975663, 7.2445025668780465, 83.00755926742579, 124.6514268531949, -174.69195330823825, 22.42294053565715, 75.6097212802105, -146.926828454916, 166.8993250993983, -62.34441524283749, -60.642685875858504, 22.16349927123489, 67.4958889815434, 14.371571977055133, -95.86436297718684, -14.368031474715558]"
Er,"[147.69018959484052, 8.54691116532488, 83.84719650422937, 126.0547616748893, -174.78704529459927, 22.330099325782058, 77.86910226937057, -147.80809381421585, 168.26084419591297, -63.05665291978985, -61.16526342780329, 22.5169082170857, 68.56184591725089, 13.258671991418373, -96.67466187461815, -13.809892257854]"
Tm,"[132.51607715778962, -4.2386690085676735, 78.86058549398123, 107.60508409789607, -173.05683904796118, 18.516002467050818, 55.11366282205129, -144.18691983627755, 154.98738406190142, -56.63546250758844, -50.389751182215505, 13.410545987911526, 63.578514581383565, 22.006096989286608, -91.93686881321318, -19.19341366321836]"
Yb,"[153.47857168566824, 13.14115061538952, 86.20138694389217, 134.73547638517203, -174.75734097858916, 24.291820600168133, 86.86181767269652, -147.98028004119408, 172.0511860176447, -65.40468269097805, -65.87691503914805, 27.155700136120366, 68.68102017417206, 10.819054207116157, -98.41682644678335, -12.20514425830758]"
Lu,"[130.41353092395096, -4.881287854723351, 78.92215963550125, 107.4653771568099, -173.55480769605967, 17.72288589432083, 53.506617501166126, -145.0865370927249, 154.09872390028346, -56.04132106142604, -49.37259060917747, 12.785315738031239, 63.33779790651527, 23.221541336608233, -91.98534138659701, -19.164629059959545]"
Hf,"[144.99458543778726, 16.088254441822357, 66.13500117044667, 79.3182973066118, -164.03340603606097, 10.603891897918844, 68.2036888020118, -156.1467575971384, 184.76023987556223, -61.57587888991069, -41.31286487066988, -7.2067093470437005, 102.46649464291681, -9.709073772997437, -87.02241460417726, -4.782482743773512]"
Ta,"[187.71403438461203, 100.03807063479876, -1.0248464722245123, 99.21161942883992, -108.81486020698718, -37.83953636120065, 67.9719296789607, -129.3921570007403, 281.4542255851273, -69.44466259407989, -92.47543260832498, -61.860816319385975, 190.54430555074777, 4.4125610329086, -62.58354313409034, 62.77339595239956]"
W,"[-11.290059255465597, 59.19527463597201, -146.24320180854056, 124.03703104905728, 304.8153266883873, 146.3743444831957, -28.772292275582846, -5.606868324822697, 129.52488268579606, 94.71874488251979, 338.2042759814876, -138.58899123960708, -38.40746090108902, 70.51322020142705, 368.51764297642035, -4.161859384140997]"
Re,"[-135.89250961731574, 68.71254811279688, -221.5999065797096, -33.432864069517116, 345.8994968788984, 56.58561060914236, -97.58142057143809, -37.03326640570179, 70.70074240598896, 131.09140292605613, 387.0900226794195, -169.28465113719955, -8.218024489959735, 11.673929231697931, 383.57378362528726, 34.748199363187815]"
Os,"[-166.4515947679984, -45.95400957336327, -127.65440277366741, -339.2819367256037, 10.178844465169592, -58.7924132779081, -186.80069605544898, -120.83238732395384, 21.569581345077825, 69.29301138548357, 236.6564129611794, -202.70748273781285, 144.07553299942214, -79.9007539901382, 96.20770283666859, 21.178173184223482]"
Ir,"[-171.2534320328237, -71.43285660257648, -96.51443149431226, -318.25841107223715, -53.5525971021724, -53.9682313061485, -194.28623781025604, -114.34315963586623, -1.9194157656213295, 61.450328210468534, 189.36989974376894, -178.63295811557046, 127.08915123171299, -52.58322433345648, 49.427751526843224, 12.306991834376905]"
Pt,"[-164.93469304055185, -68.07851449357297, -92.3886150844707, -347.8726299745297, -73.23996230291128, -52.14367979134554, -177.83428288248098, -97.3498260182395, -8.853602189837442, 52.290427329417824, 160.44579851684122, -172.08272879826197, 144.39130068625346, -82.22623614273023, 27.025037047042275, 20.652698151162134]"
Au,"[-238.5901416217752, -58.632144840281455, -128.65533068969188, -406.1374684768923, -52.104599375288885, -74.09684971047669, -197.21247504656557, -68.12919397945295, -62.04204085576167, 71.90691801787472, 157.1653178361468, -168.5332789464536, 141.0214162071561, -106.86962835156402, 41.32134215835305, 48.55633737932121]"
Hg,"[235.82156799640686, -207.50879552589717, 171.67125450588284, -326.51892164126843, 103.98514948273375, 2.692777273830871, -55.23782839228076, 130.63979228975884, -112.61260604595647, -83.53159852559502, 105.3194626621107, -132.4350083471038, 6.88700569352959, -77.84181397406216, -113.15177140605616, -235.87861084550187]"
Tl,"[-170.94066787577114, -109.1237994311999, 164.8932290816982, 188.5165585891936, -109.1369886834062, -101.09471579944932, -166.29755517761262, -5.674808910227172, -127.21353018709036, -12.681517506478343, -18.08954424485806, 56.81026907092042, -180.47134473938948, 311.3335493848856, 31.23560615339084, -68.99867432961936]"
Pb,"[-86.90637061952506, -171.81778843748356, 62.09476158155181, 241.24593603637976, -139.0314363105242, 40.17315234350398, -177.75660188602052, -66.70825395867993, -117.87607784614181, 66.43630906041348, 2.8182525406251937, 53.714831673592904, -205.25420806136265, 302.455574997437, -93.18587132885531, -99.92703341211445]"
Bi,"[168.86802423070003, -67.4598323119583, -204.7422725035964, -105.45007791843847, -88.07545267997881, 225.8745847774676, -73.30543913425453, 272.97385941398505, 57.16710880207191, -7.654946974447859, -235.61188252494506, 184.48524702471073, -173.52107809424882, 5.5778789425266115, 239.449354352321, -53.86221340143072]"
Po,"[29.206113467711333, 176.42495074142107, 80.81489846505525, -184.5250434056915, 175.02215265812413, -146.29194189277263, 185.31459848395284, 331.9720290007812, 40.29833840809696, 338.1664786675487, 293.8874881085346, 228.40673461845935, -304.7484583863351, 49.78727063451135, -121.57229140374007, 70.94511303851948]"
At,"[-115.39479902961841, -303.9924641212056, -71.16698296888497, -76.34700008873786, 382.3353373280972, 80.10635479631779, 379.33713876877556, -71.87272205393658, -347.3208948602119, -82.53306253916571, -9.12951671594211, 204.7981761151221, 38.139300778070485, 34.1689293396906, 63.915155576031964, 206.81116417833505]"
Rn,"[44.78270632847777, 24.34941873397793, -185.4725318873491, 113.67897883917122, 321.53034856839497, 104.59479387541828, -111.41696448756358, 63.79734481729962, -366.69627071420723, -486.61268379445085, 100.55511515176444, -8.965466962695864, -134.33924702582388, -123.35554495324381, -4.490701430315427, 208.07395000539142]"
Fr,"[-488.3848849408432, -49.26982262043098, -275.9380139524429, 244.51980184569226, 37.92889514771945, 17.160920295198366, 156.39569756762972, 143.17486965097655, -62.57186115122367, -29.885089791011158, 33.667109881838044, 207.358598986497, -82.08196521344169, -383.55032550925137, 101.3560389898979, 45.15850447354642]"
Ra,"[-244.0391628004802, -69.70028411191679, -235.812254795613, -100.75451563641853, 383.81517889730986, -201.5581231794414, 172.53769552972142, 123.07190374372453, 161.47452786410918, -152.2355501396895, -91.7216789657025, 24.837156924761782, -412.09110121886715, -35.45176569581771, -172.36047702260888, -127.86224866437809]"
Ac,"[53.882262027687936, -32.148871020088805, 45.6392403740544, 17.50526830435444, -113.44843651497716, 35.863614421350285, -6.119091497071253, -45.63719607549434, 74.19925259897494, -26.716282268118626, -12.391601618761335, -24.178983270967244, 40.186168230077406, 29.162423814843965, -27.805346000081506, -21.672731701219046]"
Th,"[168.74431255597455, 17.400369195601343, 83.54778083009424, 144.92325905353312, -170.58076979075037, 31.67319184189952, 95.92544571032057, -137.99884337605297, 177.51897921980355, -68.16103922044495, -77.6066708885082, 35.056092985134555, 64.52928728572553, 9.921567170957534, -96.57166178116061, -12.429784025720853]"
Pa,"[84.60083533823789, -31.84898708473898, 56.506065665818, 47.988331234142485, -124.20846556158463, 44.324123702270725, 10.20564955545267, -75.72612500967533, 95.70359391795121, -28.931298575157133, -7.50253720626833, -27.14784380819288, 50.2911124249314, 29.73986796886584, -57.43272810040442, -27.019690522941154]"
U,"[183.85500768946267, 34.394178504658115, 90.97633382916013, 166.4041738204327, -167.30402018893867, 31.420385932332742, 122.047877886997, -139.5699361919842, 190.93292083911285, -76.15335075966975, -89.3891820440908, 43.09969754129685, 71.6894004561022, 1.2003061298357127, -101.42091895848532, -4.760806341256749]"
Np,"[123.69195911954884, -19.47717790563459, 67.93959156083348, 76.46391093025915, -140.50551212987918, 38.99088403338421, 36.32677625107888, -97.65644456825105, 125.35726359224478, -45.150867361428965, -29.518454437719964, -4.574305356418388, 54.29777629827766, 22.08289045284558, -69.71512157407402, -27.754533535312518]"
Pu,"[110.14324947572487, -22.93283884180087, 67.32267353865947, 70.76813945992555, -136.81501651048842, 39.23695406887445, 27.52976923030801, -88.95508566317989, 114.37266032693236, -40.9426542171406, -23.542890108730813, -10.067783400159088, 52.545475720686504, 26.948142039243912, -64.71147705174559, -26.641024414058585]"
Am,"[73.3573076921472, -34.18663213058415, 45.369743825742944, 29.638881879860786, -121.2942156771256, 46.30176529439053, 1.1001408028431054, -62.86176222924163, 86.8158768038371, -24.938882467064314, -8.715195918422339, -26.881129161042757, 46.852139647668494, 26.175684081077495, -46.264982550054505, -24.842256862898676]"
Cm,"[75.7734881142675, -34.52847130103338, 45.5033702693753, 31.52704307890064, -120.78169255391471, 47.710241589893286, 1.6083517773121716, -61.69675913572932, 87.67318327729996, -25.31809277087165, -9.711370915924471, -25.91283744513436, 45.272536337064786, 27.251480504379277, -45.51701205255386, -25.94732603473301]"
Bk,"[57.74278223499039, -34.280819591183, 42.72115830097185, 13.684213942509002, -112.65543802385861, 38.62965741034047, -8.16510580760386, -53.256982561776, 77.67325590108013, -23.66337245811482, -1.935352184448438, -31.60773323961262, 47.59708884905886, 24.37342907412579, -31.913994973371928, -22.43642931794325]"
Cf,"[43.110571289119676, -31.709775965079384, 51.04161537434945, 14.155267503396587, -108.76438358350873, 26.414602105744752, -10.491164472780644, -44.13702576489734, 67.95990828078632, -27.64173604623657, -6.001081568802281, -27.3805431975065, 41.48653677712932, 30.941238200058113, -22.02619404311005, -20.5205437982612]"
Es,"[-55.77992595642155, -60.761682071535716, -218.92916576644402, 32.901532452371995, 29.670778893549315, -233.87222544751026, 473.96742272000665, 159.23043877502923, -290.7484599109294, 195.84753142319136, 124.06573348826979, 2.2324968974524984, -162.98058065075355, -118.43079862147894, 163.59790245441218, -268.11197559187497]"
Fm,"[-47.607272471377996, 236.01906864057477, -173.06115813149336, -151.87461817362274, 90.27816271937691, -88.35406303788865, 323.32140455811566, 25.023066708276247, -183.15265986203627, -47.7112963526046, -29.94062451042336, -183.6692759951129, -471.94621372111743, 85.58980670949943, 99.57357425139357, 310.56506591263616]"
Md,"[-224.65929131068296, 273.9578358284684, -125.18071550225216, 24.51425470149438, 17.78680980743443, 74.90473571634702, 159.32916736371496, 49.32061269762934, -270.7802238917665, 366.05558328156985, -12.23007570310896, 273.82213588817007, 50.89950862302604, 21.660463949378805, 100.05269374112989, 408.56399545681177]"
No,"[-156.10074927187358, -0.500380926955381, -342.38470656900074, 59.099477436064795, 434.31196494288355, -68.03533076215813, 68.55619013756728, -76.23176207992407, -250.21953551369347, -169.74289696253226, -374.9399012199267, -56.89441808605193, 93.01339197472765, 66.94372026659592, 82.25709384571809, -186.4159482709581]"
Lr,"[67.45377174886276, 151.19993407575836, -337.91090124475903, 94.0767329001352, 252.12210215238366, -290.67530028561686, 54.14747169614614, 328.40654584300427, -162.5268858629405, 260.7075166622322, -95.67221814865563, -14.046711845858606, 248.99892299139572, 252.7343758179759, -4.3730074105428525, 0.5699864350082158]"
