val_Total_Loss,val_RMSE,epoch,step,val_MAE,train_MAE,train_RMSE,train_Total_Loss,test_MAE,test_RMSE,test_Total_Loss
0.9695792198181152,0.9800581932067871,0,432,0.758184552192688,,,,,,
,,0,432,,9.363269805908203,12.792994499206543,3789.198486328125,,,
0.6265870928764343,0.7898646593093872,1,865,0.5961938500404358,,,,,,
,,1,865,,0.6777037978172302,0.8881634473800659,0.7971247434616089,,,
0.6166989803314209,0.7827594876289368,2,1298,0.590877890586853,,,,,,
,,2,1298,,0.6726683378219604,0.9251324534416199,0.9115997552871704,,,
0.5690280199050903,0.7520266175270081,3,1731,0.5735564231872559,,,,,,
,,3,1731,,0.6032461524009705,0.800790011882782,0.6481518745422363,,,
32.69833755493164,5.667534828186035,4,2164,4.065392017364502,,,,,,
,,4,2164,,0.6448377370834351,0.8434401750564575,1.1811747550964355,,,
0.6247636675834656,0.7878736257553101,5,2597,0.5962475538253784,,,,,,
,,5,2597,,1.3089796304702759,1.9859920740127563,7.890012264251709,,,
0.7747687697410583,0.8784518241882324,6,3030,0.6718523502349854,,,,,,
,,6,3030,,0.6315783262252808,0.8304703831672668,0.6992665529251099,,,
1.1581225395202637,1.0741593837738037,7,3463,0.8206594586372375,,,,,,
,,7,3463,,0.6409845352172852,0.8440560698509216,0.733216404914856,,,
0.7578958868980408,0.8679392337799072,8,3896,0.6613196730613708,,,,,,
,,8,3896,,0.5920290946960449,0.78007572889328,0.6173592209815979,,,
0.5138939023017883,0.714396595954895,9,4329,0.5388846397399902,,,,,,
,,9,4329,,0.6420931220054626,0.8843235373497009,0.84688401222229,,,
4.812028884887695,2.1815826892852783,10,4762,1.6133283376693726,,,,,,
,,10,4762,,5.099546909332275,6.972073554992676,316.2114562988281,,,
0.737459659576416,0.8556621670722961,11,5195,0.659614622592926,,,,,,
,,11,5195,,0.9210599660873413,1.1721382141113281,2.2173972129821777,,,
1.0097031593322754,1.0014346837997437,12,5628,0.7530760169029236,,,,,,
,,12,5628,,0.8879762887954712,1.230751633644104,1.8489080667495728,,,
0.9396284818649292,0.9671807885169983,13,6061,0.7412635684013367,,,,,,
,,13,6061,,0.7862750887870789,1.0171691179275513,1.1343532800674438,,,
0.6486424803733826,0.803254246711731,14,6494,0.6173823475837708,,,,,,
,,14,6494,,0.6466341018676758,0.8383743762969971,0.7099841237068176,,,
0.5366024971008301,0.7306322455406189,15,6927,0.5563799738883972,,,,,,
,,15,6927,,0.6280879974365234,0.809695839881897,0.6618230938911438,,,
0.5598708987236023,0.746297299861908,16,7360,0.5778688788414001,,,,,,
,,16,7360,,0.6376795172691345,0.838930070400238,0.7273325324058533,,,
0.5446329116821289,0.7362008690834045,17,7793,0.5660244822502136,,,,,,
,,17,7793,,0.6637304425239563,0.8463425040245056,0.7582741975784302,,,
3.0750811100006104,1.7368663549423218,18,8226,1.1578363180160522,,,,,,
,,18,8226,,0.9228511452674866,1.4438729286193848,3.684678792953491,,,
0.5151143074035645,0.7159615755081177,19,8659,0.551864743232727,,,,,,
,,19,8659,,0.7383751273155212,0.9855799078941345,1.1599701642990112,,,
0.5841030478477478,0.7627310156822205,20,9092,0.5851846933364868,,,,,,
,,20,9092,,0.9944797158241272,1.5037051439285278,3.8236751556396484,,,
0.537183940410614,0.731232762336731,21,9525,0.5715616345405579,,,,,,
,,21,9525,,0.8524238467216492,1.2031668424606323,1.8340508937835693,,,
0.9425260424613953,0.9691935777664185,22,9958,0.7858067750930786,,,,,,
,,22,9958,,1.3216063976287842,2.267209529876709,15.213501930236816,,,
0.7820693254470825,0.8821322917938232,23,10391,0.6993153095245361,,,,,,
,,23,10391,,0.6383410692214966,0.8211028575897217,0.6946020722389221,,,
0.4474687874317169,0.6668224930763245,24,10824,0.504382848739624,,,,,,
,,24,10824,,0.6096162796020508,0.7840262651443481,0.6306694149971008,,,
1.4502906799316406,1.2027249336242676,25,11257,0.9759103059768677,,,,,,
,,25,11257,,0.5920483469963074,0.7643566131591797,0.6050928235054016,,,
0.7572457790374756,0.8682743906974792,26,11690,0.6799478530883789,,,,,,
,,26,11690,,0.584170401096344,0.7551525235176086,0.5933941006660461,,,
0.5325870513916016,0.727693498134613,27,12123,0.5652125477790833,,,,,,
,,27,12123,,0.6483450531959534,0.8274353742599487,0.7372003793716431,,,
0.719871997833252,0.8460571765899658,28,12556,0.6567642092704773,,,,,,
,,28,12556,,0.5618584156036377,0.7297309041023254,0.550921618938446,,,
0.4659460783004761,0.6801899671554565,29,12989,0.5210257172584534,,,,,,
,,29,12989,,0.5934068560600281,0.7653014063835144,0.6506798267364502,,,
0.47019851207733154,0.6832202672958374,30,13422,0.5214868187904358,,,,,,
,,30,13422,,0.5411586761474609,0.7039158940315247,0.522627055644989,,,
0.4244343936443329,0.6491975784301758,31,13855,0.4948647916316986,,,,,,
,,31,13855,,0.5346901416778564,0.6944250464439392,0.49761220812797546,,,
0.8172244429588318,0.9015941023826599,32,14288,0.7246502041816711,,,,,,
,,32,14288,,0.5271958708763123,0.6849890351295471,0.47994184494018555,,,
0.3968510329723358,0.6277669668197632,33,14721,0.4686201512813568,,,,,,
,,33,14721,,0.5604098439216614,0.7238534092903137,0.5449858903884888,,,
0.4669768810272217,0.6807520985603333,34,15154,0.5196161270141602,,,,,,
,,34,15154,,0.5397664308547974,0.6998472809791565,0.5188215374946594,,,
0.33643582463264465,0.5776920318603516,35,15587,0.4278748631477356,,,,,,
,,35,15587,,0.4917045831680298,0.6458345055580139,0.4297637939453125,,,
0.47519007325172424,0.6878917217254639,36,16020,0.5347459316253662,,,,,,
,,36,16020,,0.5088485479354858,0.6677289605140686,0.45715847611427307,,,
0.36638665199279785,0.6032755374908447,37,16453,0.45068472623825073,,,,,,
,,37,16453,,0.47635847330093384,0.6308943629264832,0.4038495123386383,,,
0.5434136986732483,0.7343806624412537,38,16886,0.5449864268302917,,,,,,
,,38,16886,,1.0592811107635498,1.3500046730041504,26.929235458374023,,,
0.6218922734260559,0.7864199876785278,39,17319,0.5791913270950317,,,,,,
,,39,17319,,0.5557966232299805,0.7361605763435364,0.5466609597206116,,,
0.6550005674362183,0.8061331510543823,40,17752,0.6204504370689392,,,,,,
,,40,17752,,0.6459513902664185,0.8355120420455933,0.7067651748657227,,,
0.5335293412208557,0.7283002734184265,41,18185,0.561031699180603,,,,,,
,,41,18185,,0.6013811230659485,0.7819291353225708,0.6160411834716797,,,
0.5483269095420837,0.7381207942962646,42,18618,0.5653672814369202,,,,,,
,,42,18618,,0.5522947311401367,0.726006805896759,0.5330702066421509,,,
0.938859760761261,0.9667671918869019,43,19051,0.7679962515830994,,,,,,
,,43,19051,,0.5540881752967834,0.7300331592559814,0.5477678775787354,,,
1.1310595273971558,1.0623215436935425,44,19484,0.91111820936203,,,,,,
,,44,19484,,0.8895782232284546,1.0742855072021484,1.1928364038467407,,,
1.1161003112792969,1.0554332733154297,45,19917,0.9046337008476257,,,,,,
,,45,19917,,0.9115535616874695,1.0664238929748535,1.1412792205810547,,,
1.1105791330337524,1.0529366731643677,46,20350,0.9062272906303406,,,,,,
,,46,20350,,0.9027126431465149,1.0541743040084839,1.1144016981124878,,,
1.100980281829834,1.0481919050216675,47,20783,0.899951696395874,,,,,,
,,47,20783,,0.9013303518295288,1.0539677143096924,1.114146113395691,,,
1.1573753356933594,1.0741302967071533,48,21216,0.9135203957557678,,,,,,
,,48,21216,,0.9045408964157104,1.0561835765838623,1.1183052062988281,,,
1.1474884748458862,1.0702288150787354,49,21649,0.9259567260742188,,,,,,
,,49,21649,,0.9614419937133789,1.1598517894744873,1.6540558338165283,,,
1.146966576576233,1.0699836015701294,50,22082,0.9247403144836426,,,,,,
,,50,22082,,0.9265426397323608,1.0719579458236694,1.1516716480255127,,,
1.1471003293991089,1.0700421333312988,51,22515,0.923332154750824,,,,,,
,,51,22515,,0.9264797568321228,1.0720070600509644,1.1518213748931885,,,
1.1476391553878784,1.070289969444275,52,22948,0.9225940108299255,,,,,,
,,52,22948,,0.9265231490135193,1.0718563795089722,1.1518146991729736,,,
1.1480565071105957,1.070482850074768,53,23381,0.9222385287284851,,,,,,
,,53,23381,,0.9266507625579834,1.0720316171646118,1.1520025730133057,,,
1.1476072072982788,1.0702754259109497,54,23814,0.9226256012916565,,,,,,
,,54,23814,,0.9265300631523132,1.0721023082733154,1.1518644094467163,,,
1.146923542022705,1.0699617862701416,55,24247,0.9239606261253357,,,,,,
,,55,24247,,0.926639199256897,1.0722414255142212,1.1522799730300903,,,
,,56,24248,,,,,0.9186970591545105,1.0608998537063599,1.1276092529296875
